id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
459,a,,,5.0,279,173,0,0,0,0,0.2,395,128,49,0,1.7,284,130,1,318,0.0,392,115,0.0,9.8,0,0,0,0,0,1.0,,1.0,0.67,1.67,29.54,0.05,0.03,0.08,1.5,313.6,200,95,195.9,177,120,113.0,212,122,62.1,217,115,,,,0,
460,a,,,4.5,466,251,0,0,0,0,0.2,424,137,6,0,1.0,353,160,0,40,0.0,237,25,0.0,1.3,0,0,0,0,0,0.5,,0.08,0.37,0.45,3.09,0.04,0.19,0.23,1.6,40.4,338,156,29.9,309,161,8.0,325,168,7.9,341,164,,,,0,
462,a,,,4.5,505,274,0,0,0,0,0.0,644,282,0,0,0.0,561,225,0,0,0.0,276,48,0.0,0.0,0,0,0,0,0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559,224,0.0,555,224,0.0,538,217,0.0,559,224,,,,0,
465,a,,,6.5,75,22,0,0,0,0,0.9,199,34,78,0,2.4,202,20,8,246,0.0,635,58,0.0,12.0,0,0,0,0,0,1.7,,5.1,1.14,6.24,30.44,0.23,0.05,0.28,1.37,187.0,261,23,254.7,144,16,432.0,71,20,86.3,154,19,,,,0,
467,a,,,4.5,541,71,0,0,0,0,3.5,93,18,7,0,1.0,364,36,0,21,0.0,312,19,0.0,1.6,0,0,0,0,0,0.5,,0.66,0.03,0.69,3.7,0.37,0.02,0.39,2.08,8.2,365,32,5.1,350,34,46.0,269,30,5.4,353,32,,,,0,
469,a,,,5.0,224,8,0,0,0,0,3.7,89,14,102,0,3.6,73,12,2,384,0.0,337,68,0.0,20.4,0,0,0,0,0,3.6,,0.0,0.0,0.0,34.94,0.0,0.0,0.0,1.25,666.0,63,11,10.0,348,16,0.0,583,69,67.4,203,11,,,,0,
471,a,,,4.0,563,42,0,0,0,0,0.1,488,67,0,0,0.0,399,35,0,0,0.0,8,7,0.0,0.0,0,0,0,0,0,1.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395,34,0.0,384,24,0.0,350,9,0.0,395,34,,,,0,
473,a,,,5.5,191,27,0,0,0,0,2.5,112,38,102,0,3.8,60,7,11,443,0.0,544,211,0.0,18.5,0,0,0,0,0,3.8,,0.43,3.73,4.16,29.73,0.02,0.15,0.17,1.22,561.6,102,36,561.2,58,8,128.0,199,57,125.3,96,17,2.0,,,0,
470,d,75.0,,4.0,560,39,0,0,0,0,26.8,7,1,44,0,4.4,24,4,2,160,0.0,5,4,0.0,11.0,0,0,0,0,0,0.4,,0.0,0.0,0.0,11.19,0.0,0.0,0.0,1.12,220.2,234,19,0.0,381,21,0.0,347,6,22.0,301,19,,,,0,
474,a,,,5.5,122,12,0,0,0,0,2.4,116,40,118,0,3.5,87,14,4,440,0.0,475,196,0.0,21.5,0,0,0,0,0,3.8,,3.94,1.01,4.95,37.26,0.12,0.03,0.15,1.14,743.2,39,14,111.5,228,70,346.0,89,7,119.6,104,21,,2.0,4.0,0,
475,a,,,5.0,270,43,0,0,0,0,0.5,264,94,18,0,2.2,221,78,0,95,0.0,383,175,0.0,3.6,0,0,0,0,0,3.1,,0.59,0.22,0.81,5.07,0.13,0.05,0.18,1.11,110.4,299,106,28.4,310,117,96.0,225,74,23.6,297,108,,,,0,
476,a,,,5.0,218,33,0,0,0,0,3.2,97,32,115,0,3.1,123,32,9,476,0.0,331,165,0.0,23.0,0,0,0,0,0,3.1,,1.97,1.09,3.06,45.22,0.05,0.03,0.08,1.22,736.6,41,16,123.6,218,64,297.0,105,11,115.8,111,26,,,,0,
477,a,,,5.0,298,52,0,0,0,0,4.0,84,30,105,0,2.8,158,50,6,476,0.0,411,184,0.0,21.0,0,0,0,0,0,3.1,,0.33,2.7,3.03,37.83,0.01,0.09,0.1,1.2,567.4,99,35,406.2,90,18,127.0,200,58,110.1,118,29,,,,0,
